SL. ,Comment,Hate,Type
2627,Khubi  shundor akta kotha bolchen apni.,No,Not Hate
2628,Lekha ta balo lagelce,No,Not Hate
2629,Kuran k opoman korse eta nia karo mathabatha nai r hinduder gorbari poraia dise eta akhn sobr culkani uitta gsa,Yes,Religious
2630,Adalat dekhben....kivabe lathi thik Theke r sap o more...,No,Not Hate
2631,Ho kuttay kamraise tho . Atho tk diya puja koira nijera puraibo. Egula tumr moto manusher kam. Jara support diteso ,Yes,Others
2632,Valo bolecho priye,No,Not Hate
2633,Didi deri hoye gelo na,No,Not Hate
2634,Ata bolta ato somoy laglo??,No,Not Hate
2635,kahini ostomir din theke suru hoiche ar ei mohila aj protibad korlo,No,Not Hate
2636,chirotore ghumay jayto,Yes,Others
2637,mim er age koi cila acon kbr hosse kno,No,Not Hate
2638,Deshe sikkhar ovab ache apu  ,No,Not Hate
2639,J bakti. Nij  dormoke. Valobashe. Sai. Bakti. Onner. Dormoke aghat. Kore  na,No,Not Hate
2640,apni 1bar Valo kore Quran ta poren puro puri  . Apnar AI dharona bodle jabe.  Sobaike nijer diye bichar korben na.,No,Not Hate
2641,Mon chuye gelo apnar kothagulo..,No,Not Hate
2642,India nia kichu bolen..??,No,Not Hate
2643,raastai namun aage protibad korun are apni toh bakrid palon koren eisob ye kichu jai ashbena apnar,No,Not Hate
2644,ei dike ere etwdin muslim vaba nispap ami,No,Not Hate
2645,Toder manusgulo ato kharap Kno?,Yes,Racial
2646,vai apnar kono khoti korse?,No,Not Hate
2647,Akta manus ato sundor hobe kn ta,No,Not Hate
2648,puja asle ganja khao na.,Yes,Religious
2649,Kotto shundor tmi,No,Not Hate
2650,Amar buira crush,No,Not Hate
2651,kn tui janos na gadhi oy j hindu,Yes,Others
2652,"Eid Look, pujo look 2 tai dekhlam..... Muslim naki hindo taw vablam.....  namer seshe mim dekhe Muslim manlam................",No,Not Hate
2653,ondo vokto amar vai,No,Not Hate
2654,Ajka valo kichue paiba....,No,Not Hate
2655,Laddu khawar dawat daaao,No,Not Hate
2656,tomr crush abar ganja o khay ,Yes,Others
2657,Tor poja tor sarir nij diya de salir baccha salira,Yes,Religious
2658,saritei apnk onk cute lge,No,Not Hate
2659,Tumi amake wish korla na,No,Not Hate
2660,Moslim hoyeo hindoder Utsab palon kore,Yes,Religious
2661,Mondiro jha giya matir murthir faw duka tor sunat tui ekta muslim oya pojor look sudas ,Yes,Religious
2662,"Aj morning ey tomer satha dakahoyasilo,Tomaka kub sweet lagsilo ",No,Not Hate
2663,Next pic pojar sare pora pic a dekte cai ,No,Not Hate
2664,Ore Crush Tmk j keno Ato Vlo lage Atai Bujhi nah,No,Not Hate
2665,Ami more gele bujhba. . J tmr ekta pemik chilo,No,Not Hate
2666,shokuner duwai konodin goru morini,No,Not Hate
2667,piliz moire jaa sala,Yes,Others
2668,Basat dawat dila na ei pujuy..purano hoye gechi ami na?,No,Not Hate
2669,valo hoye jao sunny,Yes,Sexual
2670, Mim apur kukur take valo lagche...Amay diye diba,No,Not Hate
2671,sob nayka der pic a ei pola ter comment thak ei Abul akta,Yes,Others
2672,Tomar doggy tar style shondor,Yes,Sexual
2673,Bagha te aso...Age tomar jonno tao puja dubano dekhte jaitam ar asona keno?,No,Not Hate
2674,Earring ta onek sundor ,No,Not Hate
2675,Darun lagche didi,No,Not Hate
2676,dekhe khub valo laglo,No,Not Hate
2677,Ami tumar dhormer  na tao tumake  onk valobasi,No,Not Hate
2678,Touba tomi hindo api,No,Not Hate
2679,Atu sondur manus life a pawya so difficult,No,Not Hate
2680,Khub sundor lagche,No,Not Hate
2681,"reality onk nisthur, ja bujji etodin",No,Not Hate
2682,eisob deikha biyar ja shaad asilo jaitese ga!,No,Not Hate
2683,"love you bollam na kintu, mon kharap koiro na",No,Not Hate
2684,toi ekta kuttar bacca,Yes,Slang
2685,assignment na.. Ami nijei..,No,Not Hate
2686,Likha to silo onnow kichu mone hoi,No,Not Hate
2687,Nunu kete fele dilen,Yes,Sexual
2688,Actual lekhata jani kintu bolbo na ,No,Not Hate
2689,Ferot pawar chances khub kom.. btw charger sell korle janaben.. ,No,Not Hate
2690,"vai paben apni thanai jidi koren,,,,  ami amar k20 pro 1 bossor pore peyesi,,, ora jodi phnta nosto na kore to pawa jabe insa allah",No,Not Hate
2691,Thanay gd koren.Then Aponar kono police relative thakly tar sathy jogajog koren.,No,Not Hate
2692,vai er course ta dekhte paren ami korci ... Onek valo sikhai ... Spni caile unar YouTube channel thekeo sikhte paren free te ,No,Not Hate
2693,Even apni chole jawa manei LORD Litton & Soumya again chance e thakbe -,No,Not Hate
2694,Oita Khele Retired newa uchit,No,Not Hate
2695,Fb potibondira sele take appreciate na koira,Yes,Others
2696,Public vetkaytese kn!!!ora jitay dekhayse...korse toh akbar ota e amdr best chilo...respect kora uchit,No,Not Hate
2697,Bal palaiben,Yes,Slang
2698,hoo.akhn jara khele tara bal felaiche r tmi giye ta adhi banba....,Yes,Slang
2699,Koidin porei sokh koimi jabo,No,Not Hate
2700,khelar agei fapor shuru hoise...,Yes,Others
2701,Baro bal felaba,Yes,Slang
2702,Humm bujte hbe aigula bogura r pola....dole dak pawer age sob jitta ses kre detaso,No,Not Hate
2703,pani r dhore rakhte parlam  na,No,Not Hate
2704,mane cokh diya pani beriye gelo,No,Not Hate
2705,Vai Legend  na hoewa sob bojta para amer mon,No,Not Hate
2706,Eita kar hote pare ekmatro nisho vai chara kee bolte parbe na,No,Not Hate
2707,dakh to kichu mil pao kina ,No,Not Hate
2708,sosur bari ar aktu samne,No,Not Hate
2709,anda kheye ekbar science exam disilam...91 paisilam...,No,Not Hate
2710,2 year exam er pera silo nah tokhon bolse scl kn khule nah r akhon scl khuila dise exam er perai ses,No,Not Hate
2711,lekhapora kare ki hobe akdin to morei jaben tar theke dim paicen oitai vlo ...baija khaite to parben,Yes,Others
2712,Sei moja kuira khaite parben,No,Not Hate
2713,Surprise agy diye dity hoy nah... bujy na ara,No,Not Hate
2714,tmader results!!!!!!! misti ta age khaway dile vlo hoy ..tmder proti amr 100% varosa hai yr j tmra atai pabe..tai to age vage misti kheye nite chacchi..wese bohot sweets khane ko milegi meri jaan...,No,Not Hate
2715,post ta deke khub haslam,No,Not Hate
2716,Ay hay kiii bole...kn apnr teacher kiii result er bodole dim diyecilo nakiii ,Yes,Others
2717,kisu komu na shorom kore,No,Not Hate
2718,Exam  er agei result dekhe fellam,No,Not Hate
2719,same obosta re dada....,No,Not Hate
2720,Amr result ar kothao mone portece akhn,No,Not Hate
2721,Allah map koruk,No,Not Hate
2722,Hoini tobe khub taratari hobe ,No,Not Hate
2723,Ai rakom anda ami jibone o dekhini amr exame mone hoy ato boro anda pabo na,No,Not Hate
2724,Jaita amk abr puruskar hesabe diya hoba ,No,Not Hate
2725,oo acca veje kheye nibo,No,Not Hate
2726,Amr porikkar katar dim r o boro hobe,No,Not Hate
2727,Ebar amar obostha o amon hobe ,No,Not Hate
2728,Todr basar sby etodin thakbe dhakai ?,No,Not Hate
2729,tor ki mone ache math e 0 pawar kotha,No,Not Hate
2730,janina ki jonno mone hoilo tmr aita dorkar,No,Not Hate
2731,ei vang garir mal ta keda?,Yes,Sexual
2732,etodin por hijlar upor?,Yes,Racial
2733,nodi shob shomoy nodi e thakbe,Yes,Slang
2734,toder moton bejonma shangbadik er kase porichito,Yes,Racial
2735,ccccc pori ata ki korla bby,No,Not Hate
2736,shokol shangbadik poriri pasar sathe mishe thake kokhon pad dibe,Yes,Sexual
2737,Pori moni akdin bura moni hobe tokhon hoito onushuchona hobe.,Yes,Others
2738,Behaya pona kore ki kore viral hoa jaye..jotto sob,Yes,Others
2739,sangbadikera porimonir pachay mukh dia thake kkhn porimoni pad dey.padar sathei news,Yes,Racial
2740,"Ktota nilojo behaya hle manus amon krte pare,akta parar meyer o lojja srom ase but ai sob primonider lojja sorom nei,chi dikar tuder mton narider ",Yes,Others
2741,heti magir dalal,Yes,Sexual
2742,Longi porche naki,No,Not Hate
2743,Pagol hoiea Jabo..,No,Not Hate
2744,apo ai rokom olta palta kaj korla valo thakr ki kono upay ace. Pagol hoiea Sara. ,Yes,Others
2745,Sunechi se naki khub sundor khela day,Yes,Sexual
2746,kothakar taroka naki potitar khodder,Yes,Sexual
2747,Wow buro bara debe,Yes,Sexual
2748,tor nana chumma khacche,Yes,Sexual
2749,upore lal niche shada khub chomotkar,No,Not Hate
2750,Mental mone hosse,Yes,Others
2751,aha re lal pori taa...,No,Not Hate
2752,Jemon nana temon tar nati,No,Not Hate
2753,Lucca Akta..meye namer kalonko..,Yes,Others
2754,Ai beyadop ta ke kokhono valo hobe na,Yes,Others
2755,taka ready koro kaj hoya jba ,No,Not Hate
2756,hetir nanar heda,Yes,Slang
2757,Morleo manus hoibo na,Yes,Others
2758,Latthy maira ber kore na kn ei baal ta re,Yes,Others
2759,Tobe ato zoom kore dakano uchit hoy ni!,Yes,Sexual
2760,Jaroz sontan ara,Yes,Others
2761,Nanay Malta kheye dilo naki ,Yes,Sexual
2762,Or vodai rang mako nai,Yes,Sexual
2763,Dod ber kore pic tula thik na apu,Yes,Sexual
2764,Lunngu kule dance,Yes,Sexual
2765,Dress ta amon kn? Kicoi thu bojlam na,Yes,Appearance
2766,Lotir bacca hujur er samne dud ber kore rakhche,Yes,Sexual
2767,cheri ekta pagol bal,Yes,Others
2768,Amrr invite card taa niye tmi gelei parta...ekta lungi dance dite hoye jaito,No,Not Hate
2769,A cemrir ki morar boy nai o ki akbaro beba dakhca ja or mora lagbo airokom kore ki lab akbar jel a nicha tate or sikkha hoini ,Yes,Others
2770,Asholei shob pagol sagol Bangladesh er e jute..,Yes,Racial
2771,Allah ore nunu deyar toufik daan korun ....shokole bolen Ameen,Yes,Sexual
2772,Manus taka r famous hole atota niche neme joghonno hote pare dekhleo lojja kore..porokaler voy nai.. Allah asob meyeder hedayat deouk.,Yes,Others
2773,Allah rohomot koro..,No,Not Hate
2774,Eto behaiya kmne,Yes,Others
2775,mal mathai outcilo mone hoi,Yes,Others
2776,Ai meyek gaja ke dise . Ze dise amake inbox koren,Yes,Others
2777,lengtar nai batparer bhoy,Yes,Sexual
2778,Kule pel na ta hole aro valo hobe kanki,Yes,Sexual
2779,Nirlojjo behaya kuttar baccha,Yes,Others
2780,Lungi da khuilla gele valo hoito ,Yes,Sexual
2781,Khob taratare. asob.  falto.   manos. golare.    pagla garot a. patano hok,Yes,Others
2782,Ore rehave eeee deoaa uchit ,Yes,Others
2783,Kon desh er prani re vai Eita..uff bujlam na,Yes,Others
2784,Ce ce magi akta,Yes,Slang
2785,Buror e to kopal.,Yes,Others
2786,Baler actress.,Yes,Racial
2787,Ami to just uporta dekhei fida hoycilam.Allah somoy  thakte bachaiche.bole na upore fitfat vitore sodorghat,Yes,Others
2788,A abar kmn dresser style re  baba bujina kisu,Yes,Appearance
2789,Natnir kase nana oshohay,Yes,Others
2790,Tor bow re chudsi. Ki sonar jonoprio. Khanir pola r kono news nai ,Yes,Sexual
2791,Hayre abul ak ak somoy ak ak kotha bolos bah akbar porda vallage ahon abar queen pori moni ki komu ar...,Yes,Others
2792,Prithitlbite maiyar avab porse????,No,Not Hate
2793,Oi mohila kon dik dia miss Universe howar joggo?????,Yes,Others
2794,O miss Universe hoite parle amio BCS cadre hoite parbo.,Yes,Others
2795, Mane eita kono kotha??? ,No,Not Hate
2796,Allah tomar kache onek sukriya j ai rakhoshir hat theke Shakib  k bachaicho.r o miss universe hobe r kichu ashteche na.,Yes,Others
2797,Ami ekta jinish bujhtesina Ekhane haha react keno ashtese,No,Not Hate
2798,Ami manlam meyeta hoyto age onno rokom chilo ba amader desher ekjon cricketer ex chilo,No,Not Hate
2799,But meyeta jehetu career er dike focus hocche achieve korche i hope take support deya uchit Ekhane kono kotha e haha react er chilo na,No,Not Hate
2800,Apnarao onek emon kaj koren  jeta kokhonoi kora uchit na ba chilo na  Shobar e worst past thake,No,Not Hate
2801,Haha reaction diye nijeke stupid prove korar reason ta bujhlam na,No,Not Hate
2802,"fact hoilo.. oi video korar bishoy ta eto manush janto na jdi na ow nijei oi ""choto azad"" er interview te eto roshay roshay bolto and eto roshay boltesilo j, j kono sustho manush er mone hobe ow ekta psycopath.I saw the( interview just after few months but amazed that no one took the liberty to post publicly against it. even sakib er sathe prem er bepartao keu janto na jdi na ow nijei eta manush k bole bole  media te advantage nwar try krto.",No,Not Hate
2803, amio oi jonnai asachi cmnts krte samei bapar,No,Not Hate
2804,Halai Amon  maiyawo jode miss world Bangladesh hoye Jay. Bangladesh reh kamne represent korba kharap  laga asola judges hesaba Jara thake Ara taka poisha khaiya Lai,Yes,Others
2805,miss Nigeria o kintu miss universe hoyesen vaia.  Shudhu chehara...onk kichu dekhei then dcd kora hoy,No,Not Hate
2806,Eke jodi keu like na kore apnara ki jor korben. Vlo na lgle torko kore mere vlo lagaben. Ei logic tai bujinahijra ra Allah r poconder sristy. mashallah.  Hizra bolle seta opoman hoy na. Seta minimum sense thaka manus o bujbe. Hijrao allah r e touri.. Ar shoytan k Allah obossoi bitarito korecen. Tai soytan ar hizra ek jinis na ok,No,Not Hate
2807,Sobaike bolce actually sundor kea mean kore jotona amr question kintu question ta amr arow ai jaigai je jeikhana bangladeshke represent korar question sekhana bangladeshai jake neya ato betorko take Kano nominated Kora Holo ...,No,Not Hate
2808,Ami Bangladesh ar system kea bolce Ara agar theka setting Kora ...ar talent khujle hoito arow bhalo pawya jato,No,Not Hate
2809,mnus chilai sobr mon rokkha korte pare jannatul ferdous oishi ow to miss world hyselo meya ta koto balo kono bad record ow nai,No,Not Hate
2810,"fokinni kothao interview dite gele drink juice ja e dek eshob dhorte nei, ekta personality bojay rakhte hoy.Ulta ei fokinni gaal chipaiya chushei jacche",Yes,Others
2811,bokchud toi Akta nijer desh er Manush k respect dibar paros na,Yes,Slang
2812,"tor cover pic a ekjon er pet a churi dhukiye dicche, tor vogoban tokhon respect deyni kn? ",Yes,Others
2813,madarchud tui giye Reshmi alon re respect de amr problem nai,Yes,Slang
2814,"Dekho Er cheye jotheshto educated, smart, shundori Gulshan e gelei kintu dekha jy.. Last time jkhn gsilm vaiar shthe tkhn erkm onk apu kei dekhsi,",No,Not Hate
2815,Maaf kortam kintu apology ta delete korso ken,Yes,Others
2816,"Shakib 2012 te biye korce tar dui year agey tar prem mane 2010 er theke,apnar age 27 so 2021 e 27 hole 2010 e apnar 16 hoy age ,16 bochor bar tar agey theke perm like seriously amr hisab milche na.",Yes,Others
2817,"Stupid chila na, akhono stupid e aso",Yes,Others
2818,Dekhte banorer moto a re abar k miss world bansilo niscoi bicarok ra meyzd uttirno gaja sebon korcilo mejaj tai kharap hoe gelo ai meter theke tiktoke j goriber miya kholifa namer j Meyeta ace sei sundor,Yes,Others
2819,juice khaoar shomoy haat e iphone na dekhaile jeno juice ar misti lage na khaite,Yes,Others
2820,Korea jaite passport Americay pathano lage ?,No,Not Hate
2821,Bhaiya ekhon oita or close friend hoye geshe ,No,Not Hate
2822,Bal ar universe or chay to ami shundor,Yes,Appearance
2823,Tumi to ojoggo.. Tmk k pochondo kore? Kon audience?  Kader mon rokkha korso? Lol. Psycho meye kothakar. ,Yes,Others
2824,se jemoni hok miss universe tato peyche tar mukh dekheto r dey ni ...india jara er agge peyeche tader congrats janay r amader dese tar past se dekhte kmn koto ki nia uthe pore lage.,No,Not Hate
2825,"Boin re boin jei ovinoy kortasos mone hoitase pura desh kinna felbi miss universe hoya ,,eibar tham pagol chagol",Yes,Others
2826,Amder basay ek kajer bua apu chilo nam tar beauty apu ..onkdin hlo se ekn kaj korena..er sathe tar chehara onkkk mile...tbe ha ei madam halka ekto forsha ..bt Misti chehara chilo beauty apu tar .. anyway ami ekjon bad phepol so ignore me,No,Not Hate
2827,Bangladesh er shikkhito bekar chele meyer bap er poishay kheye deye kaj nai tamon kono korar moto tai era onner personal life niye khichuri ranna korte pochondo kore ! Vai ato joggota apnader j onner life r achievements gulo niye judgement den asole jader k judge koren tader samne apni asole ki akbar vebe dekhsen?,Yes,Others
2828,Vyrevy comment section e to controversy er jhor choltese...  jare niye choltese se agula dekbewna...r deklew tar chul poriman o kisu jay asena....r manusher koto somoy  ,No,Not Hate
2829,aibar bujlam bangladesh sudhu lomba cikon ar choto choto dress pora miyeder k miss universe banano hoy er cihara ase,Yes,Appearance
2830,Mithila apu ke kano jani BURI BURI laga...,Yes,Appearance
2831,er moto apu hunter der mukhe esob manai na ,Yes,Others
2832,age manusher moto kotha bola shekho then interview korte aiso ar nijer jaiga ta emon banaiso srys post dileo manush haha dei,Yes,Others
2833,Proper documents ache tahol akhon tomak disqualify krlo kno apu ,No,Not Hate
2834,Hahahahahahahhahahahahahahahahahahahahaha.... Amdr bashar kajer mohila miss universe hote chay... Asha kori durniti kre hye jaite parbe.(kauke choto kre kichu bla hy nai.. Kajer mohilao shundor hoite pare valo manush hoite pare).,Yes,Others
2835,Apu America  jawyar age stage  e ja ja bolben kindly age theke ektu practice kore niyen..,Yes,Others
2836,Ame normally comment korina::bt 1 question khub e korte issa korce bt kake korbo janina---seta holo bd ki ki bisoy gulo dekhe miss universe select kora hoy???,No,Not Hate
2837,O naki bassa meye. AmRe kew maire fela. Ore ke miss w.... banaise .mone hosse,Yes,Others
2838,"O kharap vabe to ekta kothao bolenai ,ekhane jei public gula baje comment kortesen apnader problem holo apnara hijabi katrina kaif chan ar ki. Respect girls bokachodas",Yes,Slang
2839,aita kono hoilo kotha..ruchi uthe gche amr..,Yes,Others
2840,Acca kon Sakib  er kotha bolce? ,No,Not Hate
2841,Ei foyinni kamne miss universe? Dhaka te rastay hatle or restaurant e er cheye shundor meye dekha jay,Yes,Appearance
2842,Hetire deki kamon akta kajer boua mone hoi,Yes,Appearance
2843,Oi to khali polara gosol a thakle oder without dress a video korto...,Yes,Others
2844,Ai maiya ta amader Cox’s Bazar k nosto kore dise  O Cox’s Bazar asle chay kapor khule ghurte,Yes,Sexual
2845,"Bal chal judges ra Bal chal selection, er ceye to niddra dey mela vlo chilo",Yes,Others
2846,"Ey cehra niye miss Universal haire chok haire surut,,,,,, reee",Yes,Appearance
2847,Purai fokinni... Gayer color dekhe mone hocche ei matro drain theke uthe asche. Chi...,Yes,Appearance
2848,Esob kivabe univars hoy bojhlam na ,Yes,Others
2849,"Anim Saha dekho ki honest ""karo kono Kichu Dekha jacche na"" xd",Yes,Others
2850,id te duke duke deke si.....kirom bisri kotha batra...half pant porle smart howa jai na bon,Yes,Appearance
2851,c c sakib er ruchi eto nimno maner!,Yes,Others
2852,Ekbar bole 'o' ekbar bole 'oke' arekbar bole 'uni'. Date expired kicu kaise.,Yes,Others
2853,vai tui ki deikkha bolli j kthr style amr moton.ami tw temon kichu pylym na re,No,Not Hate
2854,Amr theke mone hoilo r ki,No,Not Hate
2855,amr mona hoi nhh apu moto katha style ,No,Not Hate
2856,Iftar er por ashtesi comment korte daran kew jaiyen na..!!,No,Not Hate
2857,Howar  age thakai suru hoyasili janao  na janar  vab nas kan madr.....,Yes,Slang
2858,Presentable lagtesena unk messy hair messy dress ai bhabe akjon pageant winner kivhabe interview dey !!!,Yes,Appearance
2859,apu Mashallah onek cute i love you apu apni holen miss universe er joggo apni holen amr kache best ke ki bollo patta di na,No,Not Hate
2860,"Kew ake amni amni miss world Bangladesh banainai,,joggota dekhei dise....akhn kisu abal public ese bolbe kajer beti,  jottosob.",Yes,Others
2861,Meyeta bollo they were young and stupid . ,No,Not Hate
2862,"So ekhon matured er Moto miss world theke shore ashlei pare , ekhono Jodi na bujhe that a stupid person like her does not deserve this position ,tahole ar ki matured hoilo ",Yes,Others
2863,English e kotha bolte pare uni??,No,Not Hate
2864,yellow ta naki white ta diye? Dost chulkaite gelei kintu uthe ashbe. Nokol toh. ,Yes,Others
2865,Apu and auntie ra sob dhuye feltese unare! Woman empowerment ,No,Not Hate
2866,Akdom baje face,Yes,Appearance
2867,check inbox ...Tmi ekkno onk sexy,Yes,Sexual
2868,Ektuo sundor na dekhte,Yes,Appearance
2869,"Apu Muslim hisebe Facebook e apnar picture dewa o thik na, next time egulo mathay rakhben asha kori as a person from a Muslim family!",No,Not Hate
2870,Model Hobe Abar dressing sense Valo Hobe eta kmn Kotha Vai?? Jekhane modelling jinish tai to Islam e allow korena. Model hole serokom model houai uchit r na hole properly religion maintain kora uchit. T,Yes,Others
2871,Tre miss world banaise keda,No,Not Hate
2872,Shobai real I'd theke tomake gali martese abuser,No,Not Hate
2873,Amar shakib k niye ku kam korsoc,Yes,Others
2874,G apajan amra ghash khay,No,Not Hate
2875,Kotha boltte pare na ore ke miss Universe banailo?,Yes,Others
2876,Vai r face dekhlei r age bujha jai,Yes,Appearance
2877,Koto taka dite hobe 1 night,Yes,Sexual
2878,nam ta change kore feilo kindly.. Vejal ase,Yes,Others
2879,"Ghash na, pocha ganza khan tini",Yes,Others
2880,ei buri ta sundor??,Yes,Appearance
2881,ha obossoi sobai sundor.. Kintu MS Bangladesh  to sundori + talent dui tai lag a... Sobai k to ar banay na.. Sei dik tekha sundor na,Yes,Appearance
2882,Miss world e shudhu shundor dekhe na bandhubi talent tao dekhe. Hoyto tar medha ase tai takey Miss world baniyese. Uporer vedio ta dekhe bujha jay tar kotha gulo koto shundor shajano. ,No,Not Hate
2883,ami to jani rup gun sob milay mis Bangladesh  hoy.... Tar talent ki manus  er bathroom a dhuke video kora...  Oishe may ta k dek... I think she is perfect  for mis Bangladesh...  Ekhon  to maximum  e ku kam kore mis Bangladesh  hoy... Sei dik tekha oishe may ta valo,Yes,Others
2884,Meye ta experienced. Onno normal sundor kom boyos meye onek kisu parbe na o ja parbe ,No,Not Hate
2885,Insta te boobs dekhiye berau..abr sakib er bou hote chau!!,Yes,Sexual
2886,ekhane kintu karo kono kichu dekha jacchena,No,Not Hate
2887,Unlimited gaja khaise bicarok tai ei maiya change paise,Yes,Others
2888,bujla? English sikho mia or te kisui to paro na mia ,Yes,Others
2889,oni nki miss universe  onra dehkle amr hthr akta poshom o dary nh ,Yes,Appearance
2890,Kemne. Aita dekhar por bola ar baki yhakena baNgladesh  e sob i somvob,Yes,Racial
2891,"Jei chehara,ata bole abar sundori",Yes,Appearance
2892,suger daddy nia question korlo na..! faltu reporter,Yes,Racial
2893,Ak to kajer bedir moto laga,Yes,Appearance
2894,kih video psto krchilo vai..ami to akhun  dekhi nai.,No,Not Hate
2895,Hiro alomer photo coppy,Yes,Appearance
2896,Jangia Tanghan Mithila,Yes,Others
2897,To Bainchud tui ..sorry statement disos keno,Yes,Slang
2898,Ki bal chal era aro desher nam krp kore,Yes,Others
2899,"Tumi Baal, sirbaaa!Baaler Kotha...!Vondoo,Foul,Tui to Purai Foul...!",Yes,Slang
2900,jiga rate kotho Tui to kujoz,Yes,Sexual
2901,Ai mal agr thake jot.puran ki shobai jane,Yes,Sexual
2902,kaki apnar moto lagtesilo meyetake,No,Not Hate
2903,Nengta hote hobe naile shubdor lage na,Yes,Sexual
2904,Maiya hoiya daraya mutos abr tui miss universe Thapraya dat falay dibo,Yes,Others
2905,Mithila name tai asole joto somossa,Yes,Others
2906,Jama ta r aktu oupora porla valo hoto na bal gai dai,Yes,Sexual
2907, Kajer beti Rohima ,Yes,Appearance
2908,Vhai koto minute a head line ar ktha ta bolse please janaben.........ojotha time nosto korar time ani,No,Not Hate
2909,Lanta maiya. Fooottt.......,Yes,Sexual
2910,Fd e to no pblm Fd dar shata shobi kora jai no pblm...,No,Not Hate
2911,ore hawwar pola,Yes,Slang
2912,Kahini korar r jayga pan na??,No,Not Hate
2913," Ora jaeta korse that not r8,but ora story te sticker use korse,oi lokta k dekha o jay nai,r sastir kotha bolen???!!",No,Not Hate
2914,"Notun deksen to j meyra harrest kortese kono chele k tai jonno e,jokhon rape hoy,alakay kono mey k harrest kora hoy!!!",No,Not Hate
2915,"Koi, tkhn to apnader kaw k eta nia roast korte dekhi na,tkhn to kew shasti chai bole chillan na(kotha gula gaye lagse sorry but thats true bro)",No,Not Hate
2916,Eii... Sob mithila mane ki..koyekyta mithilar jonno amader sob mithilake insult kora uchit na,No,Not Hate
2917,Bangladesh a keo just akta valo platform a gelei hoilo re Vai ato scandal Kore and negativity spread kore aygula nijere ki j Mone kore Allah Jane ,No,Not Hate
2918,Sob ki sudu tangailla ber hy nki. Ebr to dekhi dhaka thika tangail famous hbo beshi . Tamima unty r por ashce abr mithila,Yes,Racial
2919,Bujhte hobe tar osadharon power ache amni amni to aar miss universe hoynai model bole kotha agula bepar na tader jonne,No,Not Hate
2920,She 1 kothar manush.... Tai boyosh 2 din por por change kore na,No,Not Hate
2921,School e ekta mithila chilo thik emon,No,Not Hate
2922, Vuter moto face neya kmnay miss universe hoi bicharok ra ki ganga khaiclo naki .deklay mona  hoi 80 bosorar buri .bangladesh a ato valo valo sundori meye thaktay kmnay ai maiya vuter moto face niya miss universe a part nai,Yes,Appearance
2923,Oida pola salare doida meye milla naked kore ar he doida Meyer sathe parena amare korle bai amr doida sontan hoia jaito ar tara hoito ma. By the way aida Kanki magi na maga.ar bai ai magir laigga bangladesh er akjon real hero shakib vai tar ijjoth dobaen na plzzzz.,Yes,Sexual
2924,Ato fast kotha bolo kno next e r aktu slow kore kotha bolba amar bujhte kosto hoyce aktu. Jai hok joss chilo,No,Not Hate
2925,Ato kharap meya a Ka k miss universe banicha,Yes,Others
2926,Tumi chandu beshi kotha boilo nah ta na hole tomakeo public vore dibe,Yes,Others
2927,Amito chini o na tanjia methela sorry (tangia methela) ke?,Yes,Others
2928,"Vaiya tmi toh dekhtesi mucki soytan,,,,!!! tbe roast ta sei hoise,,",Yes,Others
2929,Shakchunnir hashita Joss cilo,Yes,Appearance
2930,Vedio korche seta abr ocu golai boltache nosta meye ,Yes,Others
2931,Rost koren ak jon k na jai na na suina amn mon tobbo kora uchit na amra amn kn buji na amader cinta babna amn kn amra ki aktu positively babty pari na ajob akta manush ar bul hoty pare past thakty pare ata niye amader rosting trolling korar ki ase vai are vai sobar ii to emosons ase nki sobai ki normally cinta bab na korty pari na ,No,Not Hate
2932,age count kore nai tr pichoneo jukti ache...2020 to coronar dhuchani te emne emnei par hye gelo...tai vodromohila 2020 unar age count kore nai,Yes,Slang
2933,"1st dekhlam,,, pron Star er moto lagtache",Yes,Sexual
2934,Bal ar universe  ore dek lam e ay video te  ore kew chodeo nah,Yes,Slang
2935,"Off tumi kije joss,,,alata salta boisa maro tumi joss joss bass",No,Not Hate
2936,Apnar kotha gula onek besi valo lage ,No,Not Hate
2937,Prothom bar ei mithilar nam suna ar face dekha public ami ,No,Not Hate
2938,Ai thuijon to bessa parar lodi,Yes,Sexual
2939,Bal pechal pare beshi.....bachal choda..,Yes,Slang
2940,First time hunnlam sakib er ex silo r unakeo chinlamm mitila,No,Not Hate
2941,Asolai vai sob mithila. Der moddai hoyto jamala ace Mithila Sarker Tai na ,Yes,Others
2942,Ami ar ki koitam kisu koitam na sorom kore Vaiya apnar video gulo joss,No,Not Hate
2943,dur magi Sudani,Yes,Slang
2944,"Vi ami to ore cintam na ai video ta na dekle,tachara ai behaya der k cinar moto somoy amar nai.",Yes,Others
2945,"Ki re vai tangailar mithila tangailar mithila bltecen  nijer jelar amn varobatari mithiladr R koto dekhbo, plz vai eder niye uganday pathiye den tobow tangail ar name highlight koiren na",Yes,Racial
2946,Tak juta pita kora uchit,Yes,Others
2947,Vaiya apnar video ghulo amazing  and apnar hasi amr sob theke besi vlo lage please please reply ,No,Not Hate
2948,Amer hol khali pasel sodau khali,Yes,Slang
2949,Toi beta kajer theke kotha besi bolis......,No,Not Hate
2950,"Koy din por por dubai ken jay, ei bprta tuila dhorle aaro vlo hoto ",Yes,Others
2951,vai se gula ora khai pelce,No,Not Hate
2952,korsos ni verified ,No,Not Hate
